datetime,speed,new_time
2012-07-29 18:00:00.000000,378.8,2012-07-19 17:58:26.890522
2012-07-29 19:00:00.000000,360.5,2012-07-19 18:58:26.890522
2012-07-29 20:00:00.000000,357.0,2012-07-19 19:58:26.890522
2012-07-29 21:00:00.000000,371.3,2012-07-19 20:58:26.890522
2012-07-29 22:00:00.000000,373.3,2012-07-19 21:58:26.890522
2012-07-29 23:00:00.000000,393.4,2012-07-19 22:58:26.890522
2012-07-30 00:00:00.000000,392.5,2012-07-19 23:58:26.890522
2012-07-30 01:00:00.000000,408.3,2012-07-20 00:58:26.890522
2012-07-30 02:00:00.000000,402.4,2012-07-20 01:58:26.890522
2012-07-30 03:00:00.000000,395.0,2012-07-20 02:58:26.890522
2012-07-30 04:00:00.000000,407.2,2012-07-20 03:58:26.890522
2012-07-30 05:00:00.000000,413.2,2012-07-20 04:58:26.890522
2012-07-30 06:00:00.000000,407.2,2012-07-20 05:58:26.890522
2012-07-30 07:00:00.000000,417.5,2012-07-20 06:58:26.890522
