datetime,kp
2012-07-12 22:03:29,0.8418
2012-07-12 22:13:29,0.834142
2012-07-12 22:23:29,0.826632
2012-07-12 22:33:30,0.819267
2012-07-12 22:43:30,0.812035
2012-07-12 22:53:30,0.804941
2012-07-12 23:03:31,0.797976
2012-07-12 23:13:31,0.791138
2012-07-12 23:23:31,0.784428
2012-07-12 23:33:31,0.777841
2012-07-12 23:43:32,0.771376
2012-07-12 23:53:32,0.765032
2012-07-13 00:03:32,0.758805
2012-07-13 00:13:32,0.752695
2012-07-13 00:23:32,0.746702
2012-07-13 00:33:32,0.740818
2012-07-13 00:43:32,0.735048
2012-07-13 00:53:32,0.729384
2012-07-13 01:03:32,0.723081
2012-07-13 01:13:32,0.716514
2012-07-13 01:23:32,0.710044
2012-07-13 01:33:32,0.703673
2012-07-13 01:43:32,0.697394
2012-07-13 01:53:33,0.691205
2012-07-13 02:03:33,0.685105
2012-07-13 02:13:33,0.679073
2012-07-13 02:23:33,0.673098
2012-07-13 02:33:33,0.667177
2012-07-13 02:43:33,0.661303
2012-07-13 02:53:33,0.655473
2012-07-13 03:03:33,0.649694
2012-07-13 03:13:33,0.643979
2012-07-13 03:23:33,0.638343
2012-07-13 03:33:33,0.6328
2012-07-13 03:43:13,0.627399
2012-07-13 03:53:18,0.622099
2012-07-13 04:02:59,0.61695
2012-07-13 04:13:00,0.611925
2012-07-13 04:23:02,0.607039
2012-07-13 04:33:00,0.602301
2012-07-13 04:43:00,0.597708
2012-07-13 04:53:00,0.593256
2012-07-13 05:02:58,0.588946
2012-07-13 05:12:58,0.584774
2012-07-13 05:22:58,0.580737
2012-07-13 05:32:58,0.576836
2012-07-13 05:42:58,0.573061
2012-07-13 05:52:56,0.569411
2012-07-13 06:02:58,0.565888
2012-07-13 06:12:57,0.562487
2012-07-13 06:22:56,0.559205
2012-07-13 06:32:59,0.556044
2012-07-13 06:43:00,0.552999
2012-07-13 06:53:01,0.550071
2012-07-13 07:03:02,0.547251
2012-07-13 07:13:02,0.54454
2012-07-13 07:23:04,0.541935
2012-07-13 07:33:08,0.539428
2012-07-13 07:43:10,0.53702
2012-07-13 07:53:12,0.534708
2012-07-13 08:03:14,0.532496
2012-07-13 08:13:14,0.530389
2012-07-13 08:23:14,0.528384
2012-07-13 08:33:13,0.526493
2012-07-13 08:43:14,0.524723
2012-07-13 08:53:13,0.523082
2012-07-13 09:03:15,0.521577
2012-07-13 09:13:19,0.520215
2012-07-13 09:23:18,0.519006
2012-07-13 09:33:21,0.517953
2012-07-13 09:43:21,0.517064
2012-07-13 09:53:18,0.516342
2012-07-13 10:03:15,0.515796
2012-07-13 10:13:12,0.515421
2012-07-13 10:23:09,0.515224
2012-07-13 10:33:06,0.515208
2012-07-13 10:43:03,0.515369
2012-07-13 10:53:01,0.51571
2012-07-13 11:02:58,0.516231
2012-07-13 11:12:55,0.516923
2012-07-13 11:22:53,0.51778
2012-07-13 11:32:51,0.518795
2012-07-13 11:42:48,0.519945
2012-07-13 11:52:46,0.521219
2012-07-13 12:03:57,0.522575
2012-07-13 12:13:54,0.524039
2012-07-13 12:23:51,0.525572
2012-07-13 12:33:48,0.527156
2012-07-13 12:43:45,0.528777
2012-07-13 12:53:42,0.530415
2012-07-13 13:03:39,0.532056
2012-07-13 13:13:37,0.533684
2012-07-13 13:23:34,0.535293
2012-07-13 13:33:31,0.53687
2012-07-13 13:43:29,0.538401
2012-07-13 13:53:26,0.539885
2012-07-13 14:03:23,0.541321
2012-07-13 14:13:21,0.542695
2012-07-13 14:23:18,0.544008
2012-07-13 14:33:16,0.545251
2012-07-13 14:43:14,0.546436
2012-07-13 14:53:11,0.547555
2012-07-13 15:03:09,0.548604
2012-07-13 15:13:07,0.549584
2012-07-13 15:23:05,0.550497
2012-07-13 15:33:03,0.551332
2012-07-13 15:43:11,0.552068
2012-07-13 15:53:44,0.552662
2012-07-13 16:02:54,0.553414
2012-07-13 16:13:01,0.553952
2012-07-13 16:22:46,0.55449
2012-07-13 16:33:36,0.554796
2012-07-13 16:43:45,0.555162
2012-07-13 16:53:46,0.555478
2012-07-13 17:03:14,0.555809
